cement,addition,a/c,coarse_aggregate,fine_aggregate,age,concrete_compressive_strength
540.0,0.0,0.3,1040.0,676.0,28,79.99
540.0,0.0,0.3,1055.0,676.0,28,61.89
380.0,95.0,0.6,932.0,594.0,28,36.45
266.0,114.0,0.8571428571428571,932.0,670.0,28,45.85
475.0,0.0,0.48,932.0,594.0,28,39.29
198.6,132.4,0.9667673716012085,978.4,825.5,28,28.02
304.0,76.0,0.75,932.0,670.0,28,47.81
139.6,209.4,1.3753581661891119,1047.0,806.9,28,28.24
139.6,209.4,1.3753581661891119,1047.0,806.9,3,8.06
427.5,47.5,0.5333333333333333,932.0,594.0,28,37.43
475.0,0.0,0.48,932.0,594.0,7,38.6
237.5,237.5,0.96,932.0,594.0,28,30.08
427.5,47.5,0.5333333333333333,932.0,594.0,7,35.08
349.0,0.0,0.5501432664756447,1047.0,806.9,3,15.05
237.5,237.5,0.96,932.0,594.0,7,26.26
380.0,95.0,0.6,932.0,594.0,7,32.82
139.6,209.4,1.3753581661891119,1047.0,806.9,7,14.59
198.6,132.4,0.9667673716012085,978.4,825.5,7,14.64
198.6,132.4,0.9667673716012085,978.4,825.5,3,9.13
332.5,142.5,0.6857142857142857,932.0,594.0,28,33.02
310.0,0.0,0.6193548387096774,971.0,850.6,3,9.87
332.5,142.5,0.6857142857142857,932.0,594.0,7,30.28
190.0,190.0,1.2,932.0,670.0,28,40.86
485.0,0.0,0.30103092783505153,1120.0,800.0,28,71.99
374.0,189.2,0.4548128342245989,926.1,756.7,3,34.4
313.3,262.2,0.5601659751037344,1046.9,611.8,3,28.8
425.0,106.3,0.3611764705882353,852.1,887.1,3,33.4
425.0,106.3,0.3562352941176471,936.0,803.7,3,36.3
375.0,93.8,0.3376,852.1,992.6,3,29.0
475.0,118.8,0.3812631578947368,852.1,781.5,3,37.8
469.0,117.2,0.293816631130064,852.1,840.5,3,40.2
425.0,106.3,0.3611764705882353,852.1,887.1,3,33.4
388.6,97.1,0.40633041688111166,852.1,925.7,3,28.1
531.3,0.0,0.26689252776209305,852.1,893.7,3,41.3
425.0,106.3,0.3611764705882353,852.1,887.1,3,33.4
318.8,212.5,0.4883939774153073,852.1,880.4,3,25.2
401.8,94.7,0.3668491786958686,946.8,852.1,3,41.1
362.6,189.0,0.4547710976282405,944.7,755.8,3,35.3
323.7,282.8,0.5678097003398209,942.7,659.9,3,28.3
379.5,151.2,0.40553359683794465,1134.3,605.0,3,28.6
362.6,189.0,0.4547710976282405,944.7,755.8,3,35.3
286.3,200.9,0.505413901501921,1004.6,803.7,3,24.4
362.6,189.0,0.4547710976282405,944.7,755.8,3,35.3
439.0,177.0,0.42369020501138954,884.9,707.9,3,39.3
389.9,189.0,0.37419851243908697,944.7,755.8,3,40.6
362.6,189.0,0.4547710976282405,944.7,755.8,3,35.3
337.9,189.0,0.5176087599881622,944.7,755.8,3,24.1
374.0,189.2,0.4548128342245989,926.1,756.7,7,46.2
313.3,262.2,0.5601659751037344,1046.9,611.8,7,42.8
425.0,106.3,0.3611764705882353,852.1,887.1,7,49.2
425.0,106.3,0.3562352941176471,936.0,803.7,7,46.8
375.0,93.8,0.3376,852.1,992.6,7,45.7
475.0,118.8,0.3812631578947368,852.1,781.5,7,55.6
469.0,117.2,0.293816631130064,852.1,840.5,7,54.9
425.0,106.3,0.3611764705882353,852.1,887.1,7,49.2
388.6,97.1,0.40633041688111166,852.1,925.7,7,34.9
531.3,0.0,0.26689252776209305,852.1,893.7,7,46.9
425.0,106.3,0.3611764705882353,852.1,887.1,7,49.2
318.8,212.5,0.4883939774153073,852.1,880.4,7,33.4
401.8,94.7,0.3668491786958686,946.8,852.1,7,54.1
362.6,189.0,0.4547710976282405,944.7,755.8,7,55.9
323.7,282.8,0.5678097003398209,942.7,659.9,7,49.8
379.5,151.2,0.40553359683794465,1134.3,605.0,7,47.1
362.6,189.0,0.4547710976282405,944.7,755.8,7,55.9
286.3,200.9,0.505413901501921,1004.6,803.7,7,38.0
362.6,189.0,0.4547710976282405,944.7,755.8,7,55.9
439.0,177.0,0.42369020501138954,884.9,707.9,7,56.1
389.9,189.0,0.37419851243908697,944.7,755.8,7,59.09
362.6,189.0,0.4547710976282405,944.7,755.8,7,22.9
337.9,189.0,0.5176087599881622,944.7,755.8,7,35.1
374.0,189.2,0.4548128342245989,926.1,756.7,28,61.09
313.3,262.2,0.5601659751037344,1046.9,611.8,28,59.8
425.0,106.3,0.3611764705882353,852.1,887.1,28,60.29
425.0,106.3,0.3562352941176471,936.0,803.7,28,61.8
375.0,93.8,0.3376,852.1,992.6,28,56.7
475.0,118.8,0.3812631578947368,852.1,781.5,28,68.3
469.0,117.2,0.293816631130064,852.1,840.5,28,66.9
425.0,106.3,0.3611764705882353,852.1,887.1,28,60.29
388.6,97.1,0.40633041688111166,852.1,925.7,28,50.7
531.3,0.0,0.26689252776209305,852.1,893.7,28,56.4
425.0,106.3,0.3611764705882353,852.1,887.1,28,60.29
318.8,212.5,0.4883939774153073,852.1,880.4,28,55.5
401.8,94.7,0.3668491786958686,946.8,852.1,28,68.5
362.6,189.0,0.4547710976282405,944.7,755.8,28,71.3
323.7,282.8,0.5678097003398209,942.7,659.9,28,74.7
379.5,151.2,0.40553359683794465,1134.3,605.0,28,52.2
362.6,189.0,0.4547710976282405,944.7,755.8,28,71.3
286.3,200.9,0.505413901501921,1004.6,803.7,28,67.7
362.6,189.0,0.4547710976282405,944.7,755.8,28,71.3
439.0,177.0,0.42369020501138954,884.9,707.9,28,66.0
389.9,189.0,0.37419851243908697,944.7,755.8,28,74.5
362.6,189.0,0.4547710976282405,944.7,755.8,28,71.3
337.9,189.0,0.5176087599881622,944.7,755.8,28,49.9
222.4,96.7,0.8511690647482014,967.1,870.3,3,11.58
222.4,96.7,0.8511690647482014,967.1,870.3,14,24.45
222.4,96.7,0.8511690647482014,967.1,870.3,28,24.89
233.8,94.6,0.8464499572284003,947.0,852.2,3,10.38
233.8,94.6,0.8464499572284003,947.0,852.2,14,22.14
233.8,94.6,0.8464499572284003,947.0,852.2,28,22.84
194.7,100.5,0.8505392912172574,1006.4,905.9,3,12.45
194.7,100.5,0.8505392912172574,1006.4,905.9,14,24.99
194.7,100.5,0.8505392912172574,1006.4,905.9,28,25.72
190.7,125.4,0.8500262191924489,1090.0,804.0,3,15.04
190.7,125.4,0.8500262191924489,1090.0,804.0,14,21.06
190.7,125.4,0.8500262191924489,1090.0,804.0,28,26.4
212.1,121.6,0.8500707213578501,1057.6,779.3,3,12.47
212.1,121.6,0.8500707213578501,1057.6,779.3,14,20.92
212.1,121.6,0.8500707213578501,1057.6,779.3,28,24.9
230.0,118.3,0.85,1029.4,758.6,3,10.03
230.0,118.3,0.85,1029.4,758.6,14,20.08
230.0,118.3,0.85,1029.4,758.6,28,24.48
190.3,125.2,0.8507619548081976,1088.1,802.6,3,9.45
190.3,125.2,0.8507619548081976,1088.1,802.6,14,22.72
190.3,125.2,0.8507619548081976,1088.1,802.6,28,28.47
166.1,163.3,1.062612883804937,1058.6,780.1,3,10.76
166.1,163.3,1.062612883804937,1058.6,780.1,14,25.48
166.1,163.3,1.062612883804937,1058.6,780.1,28,21.54
168.0,205.9,0.725,1058.7,780.1,3,7.75
168.0,205.9,0.725,1058.7,780.1,14,17.82
168.0,205.9,0.725,1058.7,780.1,28,24.24
213.7,122.6,0.8502573701450632,1065.8,785.4,3,18.0
213.7,122.6,0.8502573701450632,1065.8,785.4,14,30.39
213.7,122.6,0.8502573701450632,1065.8,785.4,28,45.71
213.8,122.6,0.8498596819457436,1066.0,785.5,3,13.18
213.8,122.6,0.8498596819457436,1066.0,785.5,14,17.84
213.8,122.6,0.8498596819457436,1066.0,785.5,28,40.23
229.7,118.2,0.8498040922942969,1028.1,757.6,3,13.36
229.7,118.2,0.8498040922942969,1028.1,757.6,14,22.32
229.7,118.2,0.8498040922942969,1028.1,757.6,28,24.54
238.1,94.1,0.7841243175136497,949.9,847.0,3,19.93
238.1,94.1,0.7841243175136497,949.9,847.0,14,25.69
238.1,94.1,0.7841243175136497,949.9,847.0,28,30.23
250.0,95.7,0.7496,956.9,861.2,3,13.82
250.0,95.7,0.7496,956.9,861.2,14,24.92
250.0,95.7,0.7496,956.9,861.2,28,29.22
212.5,100.4,0.7496470588235294,1007.8,903.6,3,13.54
212.5,100.4,0.7496470588235294,1007.8,903.6,14,26.31
212.5,100.4,0.7496470588235294,1007.8,903.6,28,31.64
212.6,100.4,0.7497648165569144,1003.8,903.8,3,13.33
212.6,100.4,0.7497648165569144,1003.8,903.8,14,25.37
212.6,100.4,0.7497648165569144,1003.8,903.8,28,37.4
212.0,124.8,0.75,1085.4,799.5,3,19.52
212.0,124.8,0.75,1085.4,799.5,14,31.35
212.0,124.8,0.75,1085.4,799.5,28,38.5
231.8,121.6,0.7506471095772217,1056.4,778.5,3,15.44
231.8,121.6,0.7506471095772217,1056.4,778.5,14,26.77
231.8,121.6,0.7506471095772217,1056.4,778.5,28,33.73
251.4,118.3,0.7498011137629276,1028.4,757.7,3,17.22
251.4,118.3,0.7498011137629276,1028.4,757.7,14,29.93
251.4,118.3,0.7498011137629276,1028.4,757.7,28,29.65
251.4,118.3,0.7498011137629276,1028.4,757.7,3,13.12
251.4,118.3,0.7498011137629276,1028.4,757.7,14,24.43
251.4,118.3,0.7498011137629276,1028.4,757.7,28,32.66
181.4,167.0,0.9349503858875413,1055.6,777.8,3,13.62
181.4,167.0,0.9349503858875413,1055.6,777.8,14,21.6
181.4,167.0,0.9349503858875413,1055.6,777.8,28,27.77
182.0,167.2,0.9351648351648351,1059.4,780.7,3,7.32
182.0,167.2,0.9351648351648351,1059.4,780.7,14,21.5
182.0,167.2,0.9351648351648351,1059.4,780.7,28,31.27
168.9,166.5,0.9372409709887508,1080.8,796.2,3,7.4
168.9,166.5,0.9372409709887508,1080.8,796.2,14,23.51
168.9,166.5,0.9372409709887508,1080.8,796.2,28,31.12
290.4,96.2,0.5788567493112948,961.2,865.0,3,22.5
290.4,96.2,0.5788567493112948,961.2,865.0,14,34.67
290.4,96.2,0.5788567493112948,961.2,865.0,28,34.74
277.1,97.4,0.5795741609527246,973.9,875.6,3,23.14
277.1,97.4,0.5795741609527246,973.9,875.6,14,41.89
277.1,97.4,0.5795741609527246,973.9,875.6,28,48.28
295.7,95.6,0.579979709164694,955.1,859.2,3,22.95
295.7,95.6,0.579979709164694,955.1,859.2,14,35.23
295.7,95.6,0.579979709164694,955.1,859.2,28,39.94
251.8,99.9,0.58022239872915,1006.0,899.8,3,21.02
251.8,99.9,0.58022239872915,1006.0,899.8,14,33.36
251.8,99.9,0.58022239872915,1006.0,899.8,28,33.94
249.1,98.8,0.6346848655158571,987.8,889.0,3,15.36
249.1,98.8,0.6346848655158571,987.8,889.0,14,28.68
249.1,98.8,0.6346848655158571,987.8,889.0,28,30.85
252.3,98.8,0.5798652397938961,987.8,889.0,3,21.78
252.3,98.8,0.5798652397938961,987.8,889.0,14,42.29
252.3,98.8,0.5798652397938961,987.8,889.0,28,50.6
246.8,125.1,0.5806320907617504,1086.8,800.9,3,23.52
246.8,125.1,0.5806320907617504,1086.8,800.9,14,42.22
246.8,125.1,0.5806320907617504,1086.8,800.9,28,52.5
275.1,121.4,0.5797891675754271,1053.6,777.5,3,23.8
275.1,121.4,0.5797891675754271,1053.6,777.5,14,38.77
275.1,121.4,0.5797891675754271,1053.6,777.5,28,51.33
297.2,117.5,0.588156123822342,1022.8,753.5,3,21.91
297.2,117.5,0.588156123822342,1022.8,753.5,14,36.99
297.2,117.5,0.588156123822342,1022.8,753.5,28,47.4
213.7,174.7,0.724379971923257,1053.5,776.4,3,17.57
213.7,174.7,0.724379971923257,1053.5,776.4,14,33.73
213.7,174.7,0.724379971923257,1053.5,776.4,28,40.15
213.5,174.2,0.7241217798594848,1052.3,775.5,3,17.37
213.5,174.2,0.7241217798594848,1052.3,775.5,14,33.7
213.5,174.2,0.7241217798594848,1052.3,775.5,28,45.94
277.2,122.3,0.5797258297258298,1061.7,782.5,3,30.45
277.2,122.3,0.5797258297258298,1061.7,782.5,14,47.71
277.2,122.3,0.5797258297258298,1061.7,782.5,28,63.14
218.2,178.4,0.6452795600366636,1075.7,792.7,3,27.42
218.2,178.4,0.6452795600366636,1075.7,792.7,14,35.96
218.2,178.4,0.6452795600366636,1075.7,792.7,28,55.51
214.9,175.7,0.7240577012563982,1014.3,780.6,3,18.02
214.9,175.7,0.7240577012563982,1014.3,780.6,14,38.6
214.9,175.7,0.7240577012563982,1014.3,780.6,28,52.2
218.9,124.1,0.7240749200548195,1078.7,794.9,3,15.34
218.9,124.1,0.7240749200548195,1078.7,794.9,14,26.05
218.9,124.1,0.7240749200548195,1078.7,794.9,28,30.22
376.0,0.0,0.5707446808510638,1003.5,762.4,3,16.28
376.0,0.0,0.5707446808510638,1003.5,762.4,14,25.62
376.0,0.0,0.5707446808510638,1003.5,762.4,28,31.97
500.0,0.0,0.28,966.0,853.0,28,67.57
475.0,59.0,0.29894736842105263,1098.0,641.0,28,57.23
315.0,137.0,0.4603174603174603,1130.0,745.0,28,81.75
505.0,60.0,0.38613861386138615,1030.0,630.0,28,64.02
